,region,x,y
0,Diana,124.0,425.0
1,Sava,185.0,364.0
2,Sofia,72.0,283.0
3,Analanjirofo,153.0,179.0
4,Boeny,-85.0,194.0
5,Betsiboka,-6.0,128.0
6,Alaotra-Mangoro,76.0,82.0
7,Atsinanana,112.0,17.0
8,Melaky,-178.0,97.0
9,Bongolava,-90.0,25.0
10,Analamanga,10.0,32.0
11,Itasy,-35.0,-12.0
12,Vakinakaratra,-43.0,-63.0
13,Haute-Matsiatra,-65.0,-194.0
14,Amoroni-Mania,-44.0,-128.0
15,Ihorombe,-88.0,-270.0
16,Menabe,-167.0,-106.0
17,Vatovavy-Fitovinany,34.0,-192.0
18,Atsimo-Atsinanana,5.0,-340.0
19,Atsimo-Andrefana,-221.0,-326.0
20,Androy,-132.0,-477.0
21,Anosy,-80.0,-407.0
